time,susceptible,exposed,infected,recovered,new_exposed,new_infected,new_recovered,deaths,error
17,0.9999991927039272,4.0364803640367093e-07,2.0182401820183546e-07,6.727467273394515e-08,6.727467273394515e-08,0.0,0.0,0.0,0.9999998654506546
18,0.9999991927039272,5.381973818715612e-07,2.690986909357806e-07,6.727467273394515e-08,6.727467273394515e-08,0.0,0.0,0.0,1.0000000672746727
19,0.999998990879909,6.054720546055064e-07,2.690986909357806e-07,1.345493454678903e-07,6.727467273394515e-08,0.0,0.0,0.0,0.9999999999999999
20,0.9999987890558908,6.727467273394515e-07,2.690986909357806e-07,1.345493454678903e-07,6.727467273394515e-08,6.727467273394515e-08,0.0,0.0,0.9999998654506544
21,0.9999987890558908,6.727467273394515e-07,3.363733636697258e-07,1.345493454678903e-07,6.727467273394515e-08,6.727467273394515e-08,0.0,0.0,0.9999999327253273
22,0.9999987890558908,7.400214000733967e-07,3.363733636697258e-07,2.0182401820183546e-07,6.727467273394515e-08,6.727467273394515e-08,0.0,0.0,1.0000000672746727
23,0.9999983854078544,7.400214000733967e-07,4.0364803640367093e-07,2.0182401820183546e-07,6.727467273394515e-08,6.727467273394515e-08,0.0,0.0,0.999999730901309
24,0.9999982508585089,8.072960728073419e-07,6.054720546055064e-07,2.690986909357806e-07,6.727467273394515e-08,6.727467273394515e-08,0.0,0.0,0.9999999327253272
25,0.9999980490344907,1.0091200910091773e-06,6.054720546055064e-07,2.690986909357806e-07,1.345493454678903e-07,6.727467273394515e-08,0.0,0.0,0.9999999327253273
26,0.9999980490344907,1.1436694364770676e-06,6.727467273394515e-07,3.363733636697258e-07,1.345493454678903e-07,6.727467273394515e-08,0.0,0.0,1.0000002018240182
27,0.9999975781117816,1.2109441092110128e-06,6.727467273394515e-07,3.363733636697258e-07,1.345493454678903e-07,6.727467273394515e-08,0.0,0.0,0.9999997981759818
28,0.9999974435624361,1.278218781944958e-06,7.400214000733967e-07,4.709227091376161e-07,1.345493454678903e-07,6.727467273394515e-08,0.0,0.0,0.9999999327253273
29,0.9999971744637451,1.4800428001467934e-06,7.400214000733967e-07,4.709227091376161e-07,2.0182401820183546e-07,6.727467273394515e-08,0.0,0.0,0.9999998654506544
30,0.9999967035410361,1.6818668183486289e-06,8.072960728073419e-07,5.381973818715612e-07,2.690986909357806e-07,6.727467273394515e-08,6.727467273394515e-08,0.0,0.9999997309013091
31,0.9999963671676724,1.8164161638165192e-06,1.0091200910091773e-06,6.054720546055064e-07,4.0364803640367093e-07,6.727467273394515e-08,6.727467273394515e-08,0.0,0.9999997981759818
